Customer_ID,Name,Age,Occupation,Address,Loan_Type,Loan_ID,Loan_Amount,Products_Actual_Cost
CUST-00051,Person 51,23-07-1992,Doctor,"1330 Main St, Anytown, CA 12345",Personal,LN-00051,156078,165331
CUST-00052,Person 52,07-11-1979,Engineer,"3444 Main St, Anytown, CA 12345",Personal,LN-00052,159621,168880
CUST-00053,Person 53,25-09-1989,Engineer,"2613 Main St, Anytown, CA 12345",Home Improvement,LN-00053,236754,238349
CUST-00054,Person 54,04-08-1986,Business Owner,"1629 Main St, Anytown, CA 12345",Home Improvement,LN-00054,299031,304028
CUST-00055,Person 55,20-06-1990,Teacher,"2591 Main St, Anytown, CA 12345",Personal,LN-00055,404129,411645
CUST-00056,Person 56,29-03-1981,Student ,"2622 Main St, Anytown, CA 12345",Personal,LN-00056,471265,479831
CUST-00057,Person 57,12-12-1985,Student ,"2245 Main St, Anytown, CA 12345",Personal,LN-00057,310020,313157
CUST-00058,Person 58,06-10-1988,Business Owner,"1411 Main St, Anytown, CA 12345",Personal,LN-00058,434399,437999
CUST-00059,Person 59,27-11-1991,Doctor  ,"1025 Main St, Anytown, CA 12345",Auto,LN-00059,135958,142370
CUST-00060,Person 60,19-01-1978,Doctor  ,"2929 Main St, Anytown, CA 12345",Personal,LN-00060,393032,402484
CUST-00061,Person 61,03-04-1983,Doctor  ,"1036 Main St, Anytown, CA 12345",Home Improvement,LN-00061,292944,300445
CUST-00062,Person 62,23-08-1994,Engineer,"3603 Main St, Anytown, CA 12345",Personal,LN-00062,374366,382744
CUST-00063,Person 63,13-09-1984,Doctor,"4639 Main St, Anytown, CA 12345",Personal,LN-00063,99163,106001
CUST-00064,Person 64,21-06-1987,Student,"4681 Main St, Anytown, CA 12345",Personal,LN-00064,322745,327097
CUST-00065,Person 65,28-11-1993,Engineer,"3422 Main St, Anytown, CA 12345",Home Improvement,LN-00065,254724,264105
CUST-00066,Person 66,02-03-1982,Business Owner,"3212 Main St, Anytown, CA 12345",Personal,LN-00066,182376,183481
CUST-00067,Person 67,24-08-1992,Doctor,"1582 Main St, Anytown, CA 12345",Personal,LN-00067,147252,152569
CUST-00068,Person 68,08-12-1979,Student,"1025 Main St, Anytown, CA 12345",Auto,LN-00068,223132,226457
CUST-00069,Person 69,26-10-1989,Engineer,"3348 Main St, Anytown, CA 12345",Home Improvement,LN-00069,59249,65300
CUST-00070,Person 70,05-09-1986,Student,"4747 Main St, Anytown, CA 12345",Personal,LN-00070,486863,488359
CUST-00071,Person 71,21-07-1990,Engineer,"1996 Main St, Anytown, CA 12345",Auto,LN-00071,199352,206632
CUST-00072,Person 72,29-04-1981,Student,"1391 Main St, Anytown, CA 12345",Mortgage,LN-00072,406242,407691
CUST-00073,Person 73,13-01-1985,Engineer,"4738 Main St, Anytown, CA 12345",Auto,LN-00073,78087,83816
CUST-00074,Person 74,07-11-1988,Business Owner,"4676 Main St, Anytown, CA 12345",Personal,LN-00074,89828,99463
CUST-00075,Person 75,28-12-1991,Business Owner,"1562 Main St, Anytown, CA 12345",Mortgage,LN-00075,177025,179786
CUST-00076,Person 76,20-02-1978,Business Owner,"3410 Main St, Anytown, CA 12345",Home Improvement,LN-00076,360298,364399
CUST-00077,Person 77,04-05-1983,Business Owner,"2436 Main St, Anytown, CA 12345",Home Improvement,LN-00077,367000,369050
CUST-00078,Person 78,24-09-1994,Doctor,"3121 Main St, Anytown, CA 12345",Home Improvement,LN-00078,431750,436317
CUST-00079,Person 79,14-10-1984,Engineer,"4553 Main St, Anytown, CA 12345",Mortgage,LN-00079,392759,394776
CUST-00080,Person 80,22-07-1987,Business Owner,"3626 Main St, Anytown, CA 12345",Home Improvement,LN-00080,121988,126134
CUST-00081,Person 81,29-12-1993,Doctor,"1528 Main St, Anytown, CA 12345",Home Improvement,LN-00081,154572,156341
CUST-00082,Person 82,03-04-1982,Doctor,"4959 Main St, Anytown, CA 12345",Home Improvement,LN-00082,90331,96588
CUST-00083,Person 83,25-09-1992,Business Owner,"2033 Main St, Anytown, CA 12345",Mortgage,LN-00083,290222,299644
CUST-00084,Person 84,09-01-1979,Teacher ,"1730 Main St, Anytown, CA 12345",Auto,LN-00084,327303,331105
CUST-00085,Person 85,27-11-1989,Teacher ,"4676 Main St, Anytown, CA 12345",Home Improvement,LN-00085,98018,100215
CUST-00086,Person 86,06-10-1986,Business Owner,"2269 Main St, Anytown, CA 12345",Personal,LN-00086,306830,313819
CUST-00087,Person 87,22-08-1990,Engineer,"2688 Main St, Anytown, CA 12345",Personal,LN-00087,435791,440401
CUST-00088,Person 88,30-05-1981,Doctor,"1468 Main St, Anytown, CA 12345",Auto,LN-00088,71546,73166
CUST-00089,Person 89,14-02-1985,Doctor,"2069 Main St, Anytown, CA 12345",Home Improvement,LN-00089,403548,408876
CUST-00090,Person 90,08-12-1988,Teacher,"2948 Main St, Anytown, CA 12345",Mortgage,LN-00090,72029,81076
CUST-00091,Person 91,29-01-1991,Doctor,"2896 Main St, Anytown, CA 12345",Auto,LN-00091,105346,107477
CUST-00092,Person 92,21-03-1978,Teacher,"4944 Main St, Anytown, CA 12345",Personal,LN-00092,380206,383342
CUST-00093,Person 93,05-06-1983,Business Owner,"2108 Main St, Anytown, CA 12345",Mortgage,LN-00093,414346,419501
CUST-00094,Person 94,25-10-1994,Engineer,"2011 Main St, Anytown, CA 12345",Auto,LN-00094,60996,65570
CUST-00095,Person 95,15-11-1984,Engineer,"3031 Main St, Anytown, CA 12345",Auto,LN-00095,122797,123973
CUST-00096,Person 96,23-08-1987,Engineer,"3982 Main St, Anytown, CA 12345",Home Improvement,LN-00096,152722,157093
CUST-00097,Person 97,30-01-1993,Teacher,"3681 Main St, Anytown, CA 12345",Home Improvement,LN-00097,238499,239650
CUST-00098,Person 98,04-05-1982,Business Owner,"3446 Main St, Anytown, CA 12345",Personal,LN-00098,162112,163160
CUST-00099,Person 99,26-10-1992,Doctor,"3857 Main St, Anytown, CA 12345",Home Improvement,LN-00099,78131,80718
CUST-00100,Person 100,10-02-1979,Teacher,"1468 Main St, Anytown, CA 12345",Education,LN-00100,254724,436317
CUST-00101,Person 101,28-12-1989,Business Owner,"2069 Main St, Anytown, CA 12345",Medical,LN-00101,182376,394776
CUST-00102,Person 102,07-11-1986,Engineer,"2948 Main St, Anytown, CA 12345",Education,LN-00102,120002,147252
CUST-00103,Person 103,23-09-1990,Engineer,"2896 Main St, Anytown, CA 12345",Medical,LN-00103,156341,200000
CUST-00104,Person 104,30-06-1981,Engineer,"4944 Main St, Anytown, CA 12345",Education,LN-00104,59249,96588
CUST-00105,Person 105,15-03-1985,Teacher,"2108 Main St, Anytown, CA 12345",Medical,LN-00105,299644,328564
CUST-00106,Person 106,09-01-1988,Business Owner,"2011 Main St, Anytown, CA 12345",Education,LN-00106,331105,408647
CUST-00107,Person 107,28-02-1991,Engineer,"3031 Main St, Anytown, CA 12345",Medical,LN-00107,100215,156486
CUST-00108,Person 108,21-04-1978,Teacher,"3982 Main St, Anytown, CA 12345",Education,LN-00108,313819,357925
CUST-00109,Person 109,06-07-1983,Business Owner,"3681 Main St, Anytown, CA 12345",Medical,LN-00109,440401,482358
